市場	チーム	ラウンド	チーム数	販売価格	仕入部数	受注数	販売部数	廃棄部数	売上高	売上原価	売上総利益	営業利益	累積販売価格	累積仕入部数	累積受注数	累積販売部数	累積廃棄部数	累積売上高	累積営業利益
9	6	3	12	122	100	106	100	0	12200	7000	5200	4700	360	315	322	307	8	36820	13270
9	6	4	12	120	105	104	104	1	12480	7350	5130	4630	480	420	426	411	9	49300	17900
9	6	5	12	118	110	103	103	7	12154	7700	4454	3954	598	530	529	514	16	61454	21854
9	7	1	12	100	180	117	117	63	11700	12600	-900	-1400	100	180	117	117	63	11700	-1400
9	7	2	12	125	94	113	94	0	11750	6580	5170	4670	225	274	230	211	63	23450	3270
9	7	3	12	115	130	112	112	18	12880	9100	3780	3280	340	404	342	323	81	36330	6550
9	7	4	12	90	150	139	139	11	12510	10500	2010	1510	430	554	481	462	92	48840	8060
9	7	5	12	90	140	136	136	4	12240	9800	2440	1940	520	694	617	598	96	61080	10000
9	8	1	12	123	132	95	95	37	11685	9240	2445	1945	123	132	95	95	37	11685	1945
9	8	2	12	125	94	113	94	0	11750	6580	5170	4670	248	226	208	189	37	23435	6615
9	8	3	12	90	157	144	144	13	12960	10990	1970	1470	338	383	352	333	50	36395	8085
9	8	4	12	100	250	125	125	125	12500	17500	-5000	-5500	438	633	477	458	175	48895	2585
9	8	5	12	95	132	128	128	4	12160	9240	2920	2420	533	765	605	586	179	61055	5005
9	9	1	12	100	140	117	117	23	11700	9800	1900	1400	100	140	117	117	23	11700	1400
9	9	2	12	125	120	113	113	7	14125	8400	5725	5225	225	260	230	230	30	25825	6625
9	9	3	12	125	120	103	103	17	12875	8400	4475	3975	350	380	333	333	47	38700	10600
9	9	4	12	125	120	100	100	20	12500	8400	4100	3600	475	500	433	433	67	51200	14200
9	9	5	12	125	120	98	98	22	12250	8400	3850	3350	600	620	531	531	89	63450	17550
9	10	1	12	123	132	95	95	37	11685	9240	2445	1945	123	132	95	95	37	11685	1945
9	10	2	12	125	94	113	94	0	11750	6580	5170	4670	248	226	208	189	37	23435	6615
9	10	3	12	100	150	129	129	21	12900	10500	2400	1900	348	376	337	318	58	36335	8515
9	10	4	12	100	150	125	125	25	12500	10500	2000	1500	448	526	462	443	83	48835	10015
9	10	5	12	120	140	102	102	38	12240	9800	2440	1940	568	666	564	545	121	61075	11955
9	11	1	12	123	132	95	95	37	11685	9240	2445	1945	123	132	95	95	37	11685	1945
9	11	2	12	100	150	141	141	9	14100	10500	3600	3100	223	282	236	236	46	25785	5045
9	11	3	12	103	180	125	125	55	12875	12600	275	-225	326	462	361	361	101	38660	4820
